link,link_logo,brand_id
https://www.dienmayxanh.com/may-giat-lg,https://cdn.tgdd.vn/Brand/2/LG1944-b_14.png,01
https://www.dienmayxanh.com/may-giat-samsung,https://cdn.tgdd.vn/Brand/2/Samsung1944-b_5.png,02
https://www.dienmayxanh.com/may-giat-panasonic,https://cdn.tgdd.vn/Brand/2/Panasonic1944-b.png,03
https://www.dienmayxanh.com/may-giat-toshiba,https://cdn.tgdd.vn/Brand/2/Toshiba1944-b_17.png,04
https://www.dienmayxanh.com/may-giat-electrolux,https://cdn.tgdd.vn/Brand/2/Electrolux1944-b_6.png,05
https://www.dienmayxanh.com/may-giat-aqua-sanyo,https://cdn.tgdd.vn/Brand/2/Aqua1944-b_31.png,06
https://www.dienmayxanh.com/may-giat-casper,https://cdn.tgdd.vn/Brand/2/1-200x90-3.png,07
https://www.dienmayxanh.com/may-giat-sharp,https://cdn.tgdd.vn/Brand/2/Sharp1944-b_7.png,08
https://www.dienmayxanh.com/may-giat-tcl,https://cdn.tgdd.vn/Brand/2/TCL1944-b_9.png,09
https://www.dienmayxanh.com/may-giat-beko,https://cdn.tgdd.vn/Brand/2/Beko1944-b_1.png,10
https://www.dienmayxanh.com/may-giat-whirlpool,https://cdn.tgdd.vn/Brand/2/Artboard2-180x80-3.png,11
